input,output,text
Where is Basque country located?,yes,"Input: Where is Basque country located? Answer: yes
"
Where is the Abominable Snowman said to wander?,yes,"Input: Where is the Abominable Snowman said to wander? Answer: yes
"
Where is the location of the Orange Bowl?,yes,"Input: Where is the location of the Orange Bowl? Answer: yes
"
What are the 10 largest cities in the US?,yes,"Input: What are the 10 largest cities in the US? Answer: yes
"
What city was Martin Luther King Jr. assassinated in?,yes,"Input: What city was Martin Luther King Jr. assassinated in? Answer: yes
"
What city is graced by the Arch of Titus?,yes,"Input: What city is graced by the Arch of Titus? Answer: yes
"
What countries does the Mont Blanc Tunnel join?,yes,"Input: What countries does the Mont Blanc Tunnel join? Answer: yes
"
Where in the Americas is it only 47 miles from the Atlantic to the Pacific?,yes,"Input: Where in the Americas is it only 47 miles from the Atlantic to the Pacific? Answer: yes
"
What continent is Argentina on?,yes,"Input: What continent is Argentina on? Answer: yes
"
Where did King Francis I hang the `` Mona Lisa '' when he owned it?,yes,"Input: Where did King Francis I hang the `` Mona Lisa '' when he owned it? Answer: yes
"
What state capital comes last alphabetically?,yes,"Input: What state capital comes last alphabetically? Answer: yes
"
Where can I get cotton textiles importer details?,yes,"Input: Where can I get cotton textiles importer details? Answer: yes
"
What country is home to Heineken beer?,yes,"Input: What country is home to Heineken beer? Answer: yes
"
What Kenyan city is the safari center for East Africa?,yes,"Input: What Kenyan city is the safari center for East Africa? Answer: yes
"
What country did the Romans call Hibernia?,yes,"Input: What country did the Romans call Hibernia? Answer: yes
"
What United States city produces the most oil?,yes,"Input: What United States city produces the most oil? Answer: yes
"
What state did the Battle of Bighorn take place in?,yes,"Input: What state did the Battle of Bighorn take place in? Answer: yes
"
What city gained renown for its pea-soup fogs?,yes,"Input: What city gained renown for its pea-soup fogs? Answer: yes
"
What is George Lucas 's e-mail address?,yes,"Input: What is George Lucas 's e-mail address? Answer: yes
"
Where can an individual get a contact lens tested that burned the entire surface of eye when new?,yes,"Input: Where can an individual get a contact lens tested that burned the entire surface of eye when new? Answer: yes
"
Where is McCarren Airport?,yes,"Input: Where is McCarren Airport? Answer: yes
"
What river in the US is known as the Big Muddy?,yes,"Input: What river in the US is known as the Big Muddy? Answer: yes
"
Where did the world come from?,yes,"Input: Where did the world come from? Answer: yes
"
What are the largest breweries in the world?,yes,"Input: What are the largest breweries in the world? Answer: yes
"
What general direction does the journey in Around the World in 80 Days proceed in?,yes,"Input: What general direction does the journey in Around the World in 80 Days proceed in? Answer: yes
"
Name a country that is developing a magnetic levitation railway system?,yes,"Input: Name a country that is developing a magnetic levitation railway system? Answer: yes
"
What state is the geographic center of the lower 48 states?,yes,"Input: What state is the geographic center of the lower 48 states? Answer: yes
"
What 's the largest island in the West Indies?,yes,"Input: What 's the largest island in the West Indies? Answer: yes
"
What building built in 18 contains 327 miles of book shelves?,yes,"Input: What building built in 18 contains 327 miles of book shelves? Answer: yes
"
Where is one 's corpus callosum found?,yes,"Input: Where is one 's corpus callosum found? Answer: yes
"
Where can I find information about touring the Philippines?,yes,"Input: Where can I find information about touring the Philippines? Answer: yes
"
What London museum features a Chamber of Horrors?,yes,"Input: What London museum features a Chamber of Horrors? Answer: yes
"
What lake is the source of the White Nile?,yes,"Input: What lake is the source of the White Nile? Answer: yes
"
What U.S. state has sagebrush as its state flower?,yes,"Input: What U.S. state has sagebrush as its state flower? Answer: yes
"
Where can I find full written draft of CTBT?,yes,"Input: Where can I find full written draft of CTBT? Answer: yes
"
Where can I find information on the cyclone that hit New Jersey on 8/28/1941?,yes,"Input: Where can I find information on the cyclone that hit New Jersey on 8/28/1941? Answer: yes
"
What countries have the best math students?,yes,"Input: What countries have the best math students? Answer: yes
"
What city has the zip code of 35824?,yes,"Input: What city has the zip code of 35824? Answer: yes
"
What state is Niagara Falls located in?,yes,"Input: What state is Niagara Falls located in? Answer: yes
"
What U.S. state has an element named for it?,yes,"Input: What U.S. state has an element named for it? Answer: yes
"
What is the brightest star?,yes,"Input: What is the brightest star? Answer: yes
"
What are the names of the tourist attractions in Reims?,yes,"Input: What are the names of the tourist attractions in Reims? Answer: yes
"
Where can I get mailing lists?,yes,"Input: Where can I get mailing lists? Answer: yes
"
What river does the Grand Coulee Dam dam?,yes,"Input: What river does the Grand Coulee Dam dam? Answer: yes
"
What continent is Bolivia on?,yes,"Input: What continent is Bolivia on? Answer: yes
"
What country boasts Ismail 's Palace and the Palace of King Farouk?,yes,"Input: What country boasts Ismail 's Palace and the Palace of King Farouk? Answer: yes
"
Where is Glasgow?,yes,"Input: Where is Glasgow? Answer: yes
"
What is the largest city in the world?,yes,"Input: What is the largest city in the world? Answer: yes
"
