input,output,text
time,t,"Input: time Answer: t
"
game,g,"Input: game Answer: g
"
film,f,"Input: film Answer: f
"
season,s,"Input: season Answer: s
"
year,y,"Input: year Answer: y
"
second,s,"Input: second Answer: s
"
album,a,"Input: album Answer: a
"
song,s,"Input: song Answer: s
"
number,n,"Input: number Answer: n
"
part,p,"Input: part Answer: p
"
team,t,"Input: team Answer: t
"
episode,e,"Input: episode Answer: e
"
work,w,"Input: work Answer: w
"
day,d,"Input: day Answer: d
"
end,e,"Input: end Answer: e
"
music,m,"Input: music Answer: m
"
state,s,"Input: state Answer: s
"
century,c,"Input: century Answer: c
"
area,a,"Input: area Answer: a
"
life,l,"Input: life Answer: l
"
city,c,"Input: city Answer: c
"
show,s,"Input: show Answer: s
"
war,w,"Input: war Answer: w
"
group,g,"Input: group Answer: g
"
character,c,"Input: character Answer: c
"
system,s,"Input: system Answer: s
"
name,n,"Input: name Answer: n
"
government,g,"Input: government Answer: g
"
line,l,"Input: line Answer: l
"
home,h,"Input: home Answer: h
"
band,b,"Input: band Answer: b
"
record,r,"Input: record Answer: r
"
ship,s,"Input: ship Answer: s
"
world,w,"Input: world Answer: w
"
death,d,"Input: death Answer: d
"
release,r,"Input: release Answer: r
"
video,v,"Input: video Answer: v
"
role,r,"Input: role Answer: r
"
match,m,"Input: match Answer: m
"
way,w,"Input: way Answer: w
"
south,s,"Input: south Answer: s
"
side,s,"Input: side Answer: s
"
career,c,"Input: career Answer: c
"
school,s,"Input: school Answer: s
"
production,p,"Input: production Answer: p
"
story,s,"Input: story Answer: s
"
water,w,"Input: water Answer: w
"
power,p,"Input: power Answer: p
"
form,f,"Input: form Answer: f
"
storm,s,"Input: storm Answer: s
"
player,p,"Input: player Answer: p
"
history,h,"Input: history Answer: h
"
version,v,"Input: version Answer: v
"
support,s,"Input: support Answer: s
"
book,b,"Input: book Answer: b
"
period,p,"Input: period Answer: p
"
half,h,"Input: half Answer: h
"
company,c,"Input: company Answer: c
"
position,p,"Input: position Answer: p
"
order,o,"Input: order Answer: o
"
attack,a,"Input: attack Answer: a
"
include,i,"Input: include Answer: i
"
building,b,"Input: building Answer: b
"
town,t,"Input: town Answer: t
"
performance,p,"Input: performance Answer: p
"
country,c,"Input: country Answer: c
"
west,w,"Input: west Answer: w
"
aircraft,a,"Input: aircraft Answer: a
"
father,f,"Input: father Answer: f
"
track,t,"Input: track Answer: t
"
club,c,"Input: club Answer: c
"
control,c,"Input: control Answer: c
"
development,d,"Input: development Answer: d
"
result,r,"Input: result Answer: r
"
title,t,"Input: title Answer: t
"
week,w,"Input: week Answer: w
"
class,c,"Input: class Answer: c
"
force,f,"Input: force Answer: f
"
land,l,"Input: land Answer: l
"
areas,a,"Input: areas Answer: a
"
house,h,"Input: house Answer: h
"
fire,f,"Input: fire Answer: f
"
television,t,"Input: television Answer: t
"
return,r,"Input: return Answer: r
"
head,h,"Input: head Answer: h
"
style,s,"Input: style Answer: s
"
design,d,"Input: design Answer: d
"
level,l,"Input: level Answer: l
"
success,s,"Input: success Answer: s
"
route,r,"Input: route Answer: r
"
member,m,"Input: member Answer: m
"
battle,b,"Input: battle Answer: b
"
addition,a,"Input: addition Answer: a
"
air,a,"Input: air Answer: a
"
road,r,"Input: road Answer: r
"
range,r,"Input: range Answer: r
"
age,a,"Input: age Answer: a
"
race,r,"Input: race Answer: r
"
body,b,"Input: body Answer: b
"
present,p,"Input: present Answer: p
"
action,a,"Input: action Answer: a
"
population,p,"Input: population Answer: p
"
campaign,c,"Input: campaign Answer: c
"
stage,s,"Input: stage Answer: s
"
station,s,"Input: station Answer: s
"
law,l,"Input: law Answer: l
"
party,p,"Input: party Answer: p
"
night,n,"Input: night Answer: n
"
construction,c,"Input: construction Answer: c
"
damage,d,"Input: damage Answer: d
"
case,c,"Input: case Answer: c
"
event,e,"Input: event Answer: e
"
scene,s,"Input: scene Answer: s
"
front,f,"Input: front Answer: f
"
ground,g,"Input: ground Answer: g
"
field,f,"Input: field Answer: f
"
region,r,"Input: region Answer: r
"
office,o,"Input: office Answer: o
"
example,e,"Input: example Answer: e
"
army,a,"Input: army Answer: a
"
victory,v,"Input: victory Answer: v
"
mph,m,"Input: mph Answer: m
"
mother,m,"Input: mother Answer: m
"
project,p,"Input: project Answer: p
"
rest,r,"Input: rest Answer: r
"
highway,h,"Input: highway Answer: h
"
training,t,"Input: training Answer: t
"
rock,r,"Input: rock Answer: r
"
shot,s,"Input: shot Answer: s
"
process,p,"Input: process Answer: p
"
command,c,"Input: command Answer: c
"
month,m,"Input: month Answer: m
"
crew,c,"Input: crew Answer: c
"
studio,s,"Input: studio Answer: s
"
director,d,"Input: director Answer: d
"
