input,output,text
"rabbit, snail",rabbit,"Input: rabbit, snail Answer: rabbit
"
"lobster, snail",lobster,"Input: lobster, snail Answer: lobster
"
"parrot, snail",parrot,"Input: parrot, snail Answer: parrot
"
"cat, snail",cat,"Input: cat, snail Answer: cat
"
"largemouth bass, snail",largemouth bass,"Input: largemouth bass, snail Answer: largemouth bass
"
"snail, pelican",pelican,"Input: snail, pelican Answer: pelican
"
"koala, snail",koala,"Input: koala, snail Answer: koala
"
"poodle, snail",poodle,"Input: poodle, snail Answer: poodle
"
"snail, bald eagle",bald eagle,"Input: snail, bald eagle Answer: bald eagle
"
"dachshund, snail",dachshund,"Input: dachshund, snail Answer: dachshund
"
"snail, beagle",beagle,"Input: snail, beagle Answer: beagle
"
"snail, koi",koi,"Input: snail, koi Answer: koi
"
"snail, cockapoo",cockapoo,"Input: snail, cockapoo Answer: cockapoo
"
"snail, puppy",puppy,"Input: snail, puppy Answer: puppy
"
"raccoon, snail",raccoon,"Input: raccoon, snail Answer: raccoon
"
"snail, common carp",common carp,"Input: snail, common carp Answer: common carp
"
"pug, snail",pug,"Input: pug, snail Answer: pug
"
"rat terrier, snail",rat terrier,"Input: rat terrier, snail Answer: rat terrier
"
"snail, racoon",racoon,"Input: snail, racoon Answer: racoon
"
"sheltie, snail",sheltie,"Input: sheltie, snail Answer: sheltie
"
"snail, labradoodle",labradoodle,"Input: snail, labradoodle Answer: labradoodle
"
"snail, goldendoodle",goldendoodle,"Input: snail, goldendoodle Answer: goldendoodle
"
"collie, snail",collie,"Input: collie, snail Answer: collie
"
"coyote, snail",coyote,"Input: coyote, snail Answer: coyote
"
"dog, snail",dog,"Input: dog, snail Answer: dog
"
"snail, chamois",chamois,"Input: snail, chamois Answer: chamois
"
"chinook, snail",chinook,"Input: chinook, snail Answer: chinook
"
"human, snail",human,"Input: human, snail Answer: human
"
"snail, octopus",octopus,"Input: snail, octopus Answer: octopus
"
"alpaca, snail",alpaca,"Input: alpaca, snail Answer: alpaca
"
"donkey, snail",donkey,"Input: donkey, snail Answer: donkey
"
"snail, pit bull",pit bull,"Input: snail, pit bull Answer: pit bull
"
"bulldog, snail",bulldog,"Input: bulldog, snail Answer: bulldog
"
"snail, goat",goat,"Input: snail, goat Answer: goat
"
"greyhound, snail",greyhound,"Input: greyhound, snail Answer: greyhound
"
"wombat, snail",wombat,"Input: wombat, snail Answer: wombat
"
"snail, golden retriever",golden retriever,"Input: snail, golden retriever Answer: golden retriever
"
"leopard, snail",leopard,"Input: leopard, snail Answer: leopard
"
"capybara, snail",capybara,"Input: capybara, snail Answer: capybara
"
"snail, boxer",boxer,"Input: snail, boxer Answer: boxer
"
"chimpanzee, snail",chimpanzee,"Input: chimpanzee, snail Answer: chimpanzee
"
"snail, cougar",cougar,"Input: snail, cougar Answer: cougar
"
"snail, tortoise",tortoise,"Input: snail, tortoise Answer: tortoise
"
"snail, deer",deer,"Input: snail, deer Answer: deer
"
"snail, wolf",wolf,"Input: snail, wolf Answer: wolf
"
"snail, cheetah",cheetah,"Input: snail, cheetah Answer: cheetah
"
"snail, turtle",turtle,"Input: snail, turtle Answer: turtle
"
"orangutan, snail",orangutan,"Input: orangutan, snail Answer: orangutan
"
"snail, wild boar",wild boar,"Input: snail, wild boar Answer: wild boar
"
"bull shark, snail",bull shark,"Input: bull shark, snail Answer: bull shark
"
"snail, llama",llama,"Input: snail, llama Answer: llama
"
"snail, bear",bear,"Input: snail, bear Answer: bear
"
"snail, pony",pony,"Input: snail, pony Answer: pony
"
"snail, tiger",tiger,"Input: snail, tiger Answer: tiger
"
"sea lion, snail",sea lion,"Input: sea lion, snail Answer: sea lion
"
"snail, jaguar",jaguar,"Input: snail, jaguar Answer: jaguar
"
"snail, lion",lion,"Input: snail, lion Answer: lion
"
"wildebeest, snail",wildebeest,"Input: wildebeest, snail Answer: wildebeest
"
"tuna, snail",tuna,"Input: tuna, snail Answer: tuna
"
"snail, gorilla",gorilla,"Input: snail, gorilla Answer: gorilla
"
"snail, mule",mule,"Input: snail, mule Answer: mule
"
"snail, manatee",manatee,"Input: snail, manatee Answer: manatee
"
"sturgeon, snail",sturgeon,"Input: sturgeon, snail Answer: sturgeon
"
"snail, camel",camel,"Input: snail, camel Answer: camel
"
"elk, snail",elk,"Input: elk, snail Answer: elk
"
"snail, horse",horse,"Input: snail, horse Answer: horse
"
"cattle, snail",cattle,"Input: cattle, snail Answer: cattle
"
"shark, snail",shark,"Input: shark, snail Answer: shark
"
"snail, elephant",elephant,"Input: snail, elephant Answer: elephant
"
"giraffe, snail",giraffe,"Input: giraffe, snail Answer: giraffe
"
"moose, snail",moose,"Input: moose, snail Answer: moose
"
"snail, crocodile",crocodile,"Input: snail, crocodile Answer: crocodile
"
"liger, snail",liger,"Input: liger, snail Answer: liger
"
"grizzly bear, snail",grizzly bear,"Input: grizzly bear, snail Answer: grizzly bear
"
"hippopotamus, snail",hippopotamus,"Input: hippopotamus, snail Answer: hippopotamus
"
"snail, whale shark",whale shark,"Input: snail, whale shark Answer: whale shark
"
"killer whale, snail",killer whale,"Input: killer whale, snail Answer: killer whale
"
"snail, great white shark",great white shark,"Input: snail, great white shark Answer: great white shark
"
"sperm whale, snail",sperm whale,"Input: sperm whale, snail Answer: sperm whale
"
"snail, polar bear",polar bear,"Input: snail, polar bear Answer: polar bear
"
"elephant, snail",elephant,"Input: elephant, snail Answer: elephant
"
"rabbit, mosquito",rabbit,"Input: rabbit, mosquito Answer: rabbit
"
"mosquito, lobster",lobster,"Input: mosquito, lobster Answer: lobster
"
"parrot, mosquito",parrot,"Input: parrot, mosquito Answer: parrot
"
"mosquito, cat",cat,"Input: mosquito, cat Answer: cat
"
"largemouth bass, mosquito",largemouth bass,"Input: largemouth bass, mosquito Answer: largemouth bass
"
"mosquito, pelican",pelican,"Input: mosquito, pelican Answer: pelican
"
"koala, mosquito",koala,"Input: koala, mosquito Answer: koala
"
"poodle, mosquito",poodle,"Input: poodle, mosquito Answer: poodle
"
"mosquito, bald eagle",bald eagle,"Input: mosquito, bald eagle Answer: bald eagle
"
"dachshund, mosquito",dachshund,"Input: dachshund, mosquito Answer: dachshund
"
"mosquito, beagle",beagle,"Input: mosquito, beagle Answer: beagle
"
"koi, mosquito",koi,"Input: koi, mosquito Answer: koi
"
"cockapoo, mosquito",cockapoo,"Input: cockapoo, mosquito Answer: cockapoo
"
"puppy, mosquito",puppy,"Input: puppy, mosquito Answer: puppy
"
"raccoon, mosquito",raccoon,"Input: raccoon, mosquito Answer: raccoon
"
"common carp, mosquito",common carp,"Input: common carp, mosquito Answer: common carp
"
"mosquito, pug",pug,"Input: mosquito, pug Answer: pug
"
"rat terrier, mosquito",rat terrier,"Input: rat terrier, mosquito Answer: rat terrier
"
"racoon, mosquito",racoon,"Input: racoon, mosquito Answer: racoon
"
"sheltie, mosquito",sheltie,"Input: sheltie, mosquito Answer: sheltie
"
"labradoodle, mosquito",labradoodle,"Input: labradoodle, mosquito Answer: labradoodle
"
"goldendoodle, mosquito",goldendoodle,"Input: goldendoodle, mosquito Answer: goldendoodle
"
"collie, mosquito",collie,"Input: collie, mosquito Answer: collie
"
"mosquito, coyote",coyote,"Input: mosquito, coyote Answer: coyote
"
"mosquito, dog",dog,"Input: mosquito, dog Answer: dog
"
"mosquito, chamois",chamois,"Input: mosquito, chamois Answer: chamois
"
"mosquito, chinook",chinook,"Input: mosquito, chinook Answer: chinook
"
"mosquito, human",human,"Input: mosquito, human Answer: human
"
"mosquito, octopus",octopus,"Input: mosquito, octopus Answer: octopus
"
"alpaca, mosquito",alpaca,"Input: alpaca, mosquito Answer: alpaca
"
"donkey, mosquito",donkey,"Input: donkey, mosquito Answer: donkey
"
"mosquito, pit bull",pit bull,"Input: mosquito, pit bull Answer: pit bull
"
"mosquito, bulldog",bulldog,"Input: mosquito, bulldog Answer: bulldog
"
"mosquito, goat",goat,"Input: mosquito, goat Answer: goat
"
"greyhound, mosquito",greyhound,"Input: greyhound, mosquito Answer: greyhound
"
"mosquito, wombat",wombat,"Input: mosquito, wombat Answer: wombat
"
"mosquito, golden retriever",golden retriever,"Input: mosquito, golden retriever Answer: golden retriever
"
"leopard, mosquito",leopard,"Input: leopard, mosquito Answer: leopard
"
"mosquito, capybara",capybara,"Input: mosquito, capybara Answer: capybara
"
"boxer, mosquito",boxer,"Input: boxer, mosquito Answer: boxer
"
"mosquito, chimpanzee",chimpanzee,"Input: mosquito, chimpanzee Answer: chimpanzee
"
"mosquito, cougar",cougar,"Input: mosquito, cougar Answer: cougar
"
"tortoise, mosquito",tortoise,"Input: tortoise, mosquito Answer: tortoise
"
"mosquito, deer",deer,"Input: mosquito, deer Answer: deer
"
"wolf, mosquito",wolf,"Input: wolf, mosquito Answer: wolf
"
"mosquito, cheetah",cheetah,"Input: mosquito, cheetah Answer: cheetah
"
"mosquito, turtle",turtle,"Input: mosquito, turtle Answer: turtle
"
"orangutan, mosquito",orangutan,"Input: orangutan, mosquito Answer: orangutan
"
"wild boar, mosquito",wild boar,"Input: wild boar, mosquito Answer: wild boar
"
"mosquito, bull shark",bull shark,"Input: mosquito, bull shark Answer: bull shark
"
"mosquito, llama",llama,"Input: mosquito, llama Answer: llama
"
"mosquito, bear",bear,"Input: mosquito, bear Answer: bear
"
"mosquito, pony",pony,"Input: mosquito, pony Answer: pony
"
"mosquito, tiger",tiger,"Input: mosquito, tiger Answer: tiger
"
"sea lion, mosquito",sea lion,"Input: sea lion, mosquito Answer: sea lion
"
"mosquito, jaguar",jaguar,"Input: mosquito, jaguar Answer: jaguar
"
"lion, mosquito",lion,"Input: lion, mosquito Answer: lion
"
"mosquito, wildebeest",wildebeest,"Input: mosquito, wildebeest Answer: wildebeest
"
"mosquito, tuna",tuna,"Input: mosquito, tuna Answer: tuna
"
"mosquito, gorilla",gorilla,"Input: mosquito, gorilla Answer: gorilla
"
"mule, mosquito",mule,"Input: mule, mosquito Answer: mule
"
"mosquito, manatee",manatee,"Input: mosquito, manatee Answer: manatee
"
"mosquito, sturgeon",sturgeon,"Input: mosquito, sturgeon Answer: sturgeon
"
"camel, mosquito",camel,"Input: camel, mosquito Answer: camel
"
"elk, mosquito",elk,"Input: elk, mosquito Answer: elk
"
"mosquito, horse",horse,"Input: mosquito, horse Answer: horse
"
"cattle, mosquito",cattle,"Input: cattle, mosquito Answer: cattle
"
"shark, mosquito",shark,"Input: shark, mosquito Answer: shark
"
"mosquito, elephant",elephant,"Input: mosquito, elephant Answer: elephant
"
"mosquito, giraffe",giraffe,"Input: mosquito, giraffe Answer: giraffe
"
"mosquito, moose",moose,"Input: mosquito, moose Answer: moose
"
"mosquito, crocodile",crocodile,"Input: mosquito, crocodile Answer: crocodile
"
"mosquito, liger",liger,"Input: mosquito, liger Answer: liger
"
"mosquito, grizzly bear",grizzly bear,"Input: mosquito, grizzly bear Answer: grizzly bear
"
"hippopotamus, mosquito",hippopotamus,"Input: hippopotamus, mosquito Answer: hippopotamus
"
"mosquito, whale shark",whale shark,"Input: mosquito, whale shark Answer: whale shark
"
"mosquito, killer whale",killer whale,"Input: mosquito, killer whale Answer: killer whale
"
"mosquito, great white shark",great white shark,"Input: mosquito, great white shark Answer: great white shark
"
"mosquito, sperm whale",sperm whale,"Input: mosquito, sperm whale Answer: sperm whale
"
"mosquito, polar bear",polar bear,"Input: mosquito, polar bear Answer: polar bear
"
"mosquito, elephant",elephant,"Input: mosquito, elephant Answer: elephant
"
"rabbit, bee",rabbit,"Input: rabbit, bee Answer: rabbit
"
"bee, lobster",lobster,"Input: bee, lobster Answer: lobster
"
"bee, parrot",parrot,"Input: bee, parrot Answer: parrot
"
"cat, bee",cat,"Input: cat, bee Answer: cat
"
"largemouth bass, bee",largemouth bass,"Input: largemouth bass, bee Answer: largemouth bass
"
"bee, pelican",pelican,"Input: bee, pelican Answer: pelican
"
"koala, bee",koala,"Input: koala, bee Answer: koala
"
"poodle, bee",poodle,"Input: poodle, bee Answer: poodle
"
"bald eagle, bee",bald eagle,"Input: bald eagle, bee Answer: bald eagle
"
"dachshund, bee",dachshund,"Input: dachshund, bee Answer: dachshund
"
"bee, beagle",beagle,"Input: bee, beagle Answer: beagle
"
"bee, koi",koi,"Input: bee, koi Answer: koi
"
"bee, cockapoo",cockapoo,"Input: bee, cockapoo Answer: cockapoo
"
"puppy, bee",puppy,"Input: puppy, bee Answer: puppy
"
"bee, raccoon",raccoon,"Input: bee, raccoon Answer: raccoon
"
"common carp, bee",common carp,"Input: common carp, bee Answer: common carp
"
"bee, pug",pug,"Input: bee, pug Answer: pug
"
"rat terrier, bee",rat terrier,"Input: rat terrier, bee Answer: rat terrier
"
