input,output,text
game,games,"Input: game Answer: games
"
season,seasons,"Input: season Answer: seasons
"
year,years,"Input: year Answer: years
"
second,seconds,"Input: second Answer: seconds
"
album,albums,"Input: album Answer: albums
"
song,songs,"Input: song Answer: songs
"
number,numbers,"Input: number Answer: numbers
"
part,parts,"Input: part Answer: parts
"
team,teams,"Input: team Answer: teams
"
episode,episodes,"Input: episode Answer: episodes
"
day,days,"Input: day Answer: days
"
state,states,"Input: state Answer: states
"
century,centuries,"Input: century Answer: centuries
"
area,areas,"Input: area Answer: areas
"
city,cities,"Input: city Answer: cities
"
show,shows,"Input: show Answer: shows
"
war,wars,"Input: war Answer: wars
"
place,places,"Input: place Answer: places
"
group,groups,"Input: group Answer: groups
"
system,systems,"Input: system Answer: systems
"
name,names,"Input: name Answer: names
"
line,lines,"Input: line Answer: lines
"
family,families,"Input: family Answer: families
"
home,homes,"Input: home Answer: homes
"
band,bands,"Input: band Answer: bands
"
record,records,"Input: record Answer: records
"
ship,ships,"Input: ship Answer: ships
"
release,releases,"Input: release Answer: releases
"
role,roles,"Input: role Answer: roles
"
way,ways,"Input: way Answer: ways
"
side,sides,"Input: side Answer: sides
"
story,stories,"Input: story Answer: stories
"
form,forms,"Input: form Answer: forms
"
storm,storms,"Input: storm Answer: storms
"
version,versions,"Input: version Answer: versions
"
support,supports,"Input: support Answer: supports
"
book,books,"Input: book Answer: books
"
period,periods,"Input: period Answer: periods
"
half,halves,"Input: half Answer: halves
"
point,points,"Input: point Answer: points
"
position,positions,"Input: position Answer: positions
"
attack,attacks,"Input: attack Answer: attacks
"
include,includes,"Input: include Answer: includes
"
building,buildings,"Input: building Answer: buildings
"
town,towns,"Input: town Answer: towns
"
service,services,"Input: service Answer: services
"
aircraft,aircraft,"Input: aircraft Answer: aircraft
"
father,fathers,"Input: father Answer: fathers
"
club,clubs,"Input: club Answer: clubs
"
result,results,"Input: result Answer: results
"
run,runs,"Input: run Answer: runs
"
title,titles,"Input: title Answer: titles
"
week,weeks,"Input: week Answer: weeks
"
force,forces,"Input: force Answer: forces
"
television,televisions,"Input: television Answer: televisions
"
head,heads,"Input: head Answer: heads
"
level,levels,"Input: level Answer: levels
"
route,routes,"Input: route Answer: routes
"
member,members,"Input: member Answer: members
"
battle,battles,"Input: battle Answer: battles
"
road,roads,"Input: road Answer: roads
"
range,ranges,"Input: range Answer: ranges
"
race,races,"Input: race Answer: races
"
present,presents,"Input: present Answer: presents
"
population,populations,"Input: population Answer: populations
"
campaign,campaigns,"Input: campaign Answer: campaigns
"
stage,stages,"Input: stage Answer: stages
"
station,stations,"Input: station Answer: stations
"
site,sites,"Input: site Answer: sites
"
party,parties,"Input: party Answer: parties
"
case,cases,"Input: case Answer: cases
"
event,events,"Input: event Answer: events
"
scene,scenes,"Input: scene Answer: scenes
"
front,fronts,"Input: front Answer: fronts
"
field,fields,"Input: field Answer: fields
"
region,regions,"Input: region Answer: regions
"
office,offices,"Input: office Answer: offices
"
example,examples,"Input: example Answer: examples
"
wife,wives,"Input: wife Answer: wives
"
army,armies,"Input: army Answer: armies
"
mother,mothers,"Input: mother Answer: mothers
"
project,projects,"Input: project Answer: projects
"
rest,rests,"Input: rest Answer: rests
"
highway,highways,"Input: highway Answer: highways
"
shot,shots,"Input: shot Answer: shots
"
month,months,"Input: month Answer: months
"
crew,crews,"Input: crew Answer: crews
"
studio,studios,"Input: studio Answer: studios
"
director,directors,"Input: director Answer: directors
"
hurricane,hurricanes,"Input: hurricane Answer: hurricanes
"
appearance,appearances,"Input: appearance Answer: appearances
"
list,lists,"Input: list Answer: lists
"
goal,goals,"Input: goal Answer: goals
"
relationship,relationships,"Input: relationship Answer: relationships
"
court,courts,"Input: court Answer: courts
"
chart,charts,"Input: chart Answer: charts
"
attempt,attempts,"Input: attempt Answer: attempts
"
recording,recordings,"Input: recording Answer: recordings
"
sound,sounds,"Input: sound Answer: sounds
"
cast,casts,"Input: cast Answer: casts
"
term,terms,"Input: term Answer: terms
"
art,arts,"Input: art Answer: arts
"
future,futures,"Input: future Answer: futures
"
league,leagues,"Input: league Answer: leagues
"
review,reviews,"Input: review Answer: reviews
"
section,sections,"Input: section Answer: sections
"
cover,covers,"Input: cover Answer: covers
"
idea,ideas,"Input: idea Answer: ideas
"
brother,brothers,"Input: brother Answer: brothers
"
election,elections,"Input: election Answer: elections
"
novel,novels,"Input: novel Answer: novels
"
coast,coasts,"Input: coast Answer: coasts
"
person,people,"Input: person Answer: people
"
sea,seas,"Input: sea Answer: seas
"
gun,guns,"Input: gun Answer: guns
"
hand,hands,"Input: hand Answer: hands
"
study,studies,"Input: study Answer: studies
"
response,responses,"Input: response Answer: responses
"
decision,decisions,"Input: decision Answer: decisions
"
magazine,magazines,"Input: magazine Answer: magazines
"
debut,debuts,"Input: debut Answer: debuts
"
program,programs,"Input: program Answer: programs
"
score,scores,"Input: score Answer: scores
"
surface,surfaces,"Input: surface Answer: surfaces
"
turn,turns,"Input: turn Answer: turns
"
community,communities,"Input: community Answer: communities
"
length,lengths,"Input: length Answer: lengths
"
bridge,bridges,"Input: bridge Answer: bridges
"
plan,plans,"Input: plan Answer: plans
"
center,centers,"Input: center Answer: centers
"
speed,speeds,"Input: speed Answer: speeds
"
president,presidents,"Input: president Answer: presidents
"
summer,summers,"Input: summer Answer: summers
"
cut,cuts,"Input: cut Answer: cuts
"
writer,writers,"Input: writer Answer: writers
"
date,dates,"Input: date Answer: dates
"
influence,influences,"Input: influence Answer: influences
"
fleet,fleets,"Input: fleet Answer: fleets
"
size,sizes,"Input: size Answer: sizes
"
daughter,daughters,"Input: daughter Answer: daughters
"
cost,costs,"Input: cost Answer: costs
"
