input,output,text
involve oscillations.,guitars pendulums neutrinos,"Input: involve oscillations. Answer: guitars pendulums neutrinos
"
can help repair something.,sewing wrenches glue surgery,"Input: can help repair something. Answer: sewing wrenches glue surgery
"
can be used for repairs.,sewing wrenches glue surgery,"Input: can be used for repairs. Answer: sewing wrenches glue surgery
"
involve spins.,magnetic resonance imaging propaganda figure skating,"Input: involve spins. Answer: magnetic resonance imaging propaganda figure skating
"
involve flushes.,poker displays of embarrassment toilets,"Input: involve flushes. Answer: poker displays of embarrassment toilets
"
involve tumbling.,avalanches rock polishing gymnastics,"Input: involve tumbling. Answer: avalanches rock polishing gymnastics
"
involve frames.,picture issue reference,"Input: involve frames. Answer: picture issue reference
"
go on top of something.,boats tablecloths crowns,"Input: go on top of something. Answer: boats tablecloths crowns
"
types of house.,green light dog ware,"Input: types of house. Answer: green light dog ware
"
involve drilling.,dentistry construction oil,"Input: involve drilling. Answer: dentistry construction oil
"
the largest of their kind.,blue whales Jupiter top quarks Mt. Everest,"Input: the largest of their kind. Answer: blue whales Jupiter top quarks Mt. Everest
"
have segments.,bamboo memory lines,"Input: have segments. Answer: bamboo memory lines
"
use specialized shoes.,ballet snow running snorkeling,"Input: use specialized shoes. Answer: ballet snow running snorkeling
"
types of chairs.,folding committee lounge,"Input: types of chairs. Answer: folding committee lounge
"
involve caching.,squirrel foraging memoization web browsers,"Input: involve caching. Answer: squirrel foraging memoization web browsers
"
"inanimate, but made to imitate something animate.",snowman marzipan fruit rubber plant,"Input: inanimate, but made to imitate something animate. Answer: snowman marzipan fruit rubber plant
"
relate to bells.,normal distribution Pavlov carillon,"Input: relate to bells. Answer: normal distribution Pavlov carillon
"
