input,output,text
I prefer for the girl to put a picture there. [a],a,"Input: I prefer for the girl to put a picture there. [a] Answer: a
"
John is running to the car. [t],to the,"Input: John is running to the car. [t] Answer: to the
"
Mary has never kissed a man who is taller than John is. [n],never,"Input: Mary has never kissed a man who is taller than John is. [n] Answer: never
"
Sam cut himself free. [s],sam,"Input: Sam cut himself free. [s] Answer: sam
"
"We like our friends and they like their friends, too. [a]",and,"Input: We like our friends and they like their friends, too. [a] Answer: and
"
Mary likes herself. [l],likes,"Input: Mary likes herself. [l] Answer: likes
"
Those Olympic hopefuls should practice diligently daily. [t],those,"Input: Those Olympic hopefuls should practice diligently daily. [t] Answer: those
"
They hit the ball. [b],ball,"Input: They hit the ball. [b] Answer: ball
"
Yesterday John talked to any woman he saw. [a],any,"Input: Yesterday John talked to any woman he saw. [a] Answer: any
"
"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library. [m]",manuscripts,"Input: Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library. [m] Answer: manuscripts
"
I reported him having kissed Mary. [h],him having,"Input: I reported him having kissed Mary. [h] Answer: him having
"
Fond of some boy every girl is. [e],every,"Input: Fond of some boy every girl is. [e] Answer: every
"
This girl in the red coat will eat her breakfast and will put a picture of Bill on your desk before tomorrow. [i],in,"Input: This girl in the red coat will eat her breakfast and will put a picture of Bill on your desk before tomorrow. [i] Answer: in
"
His friend kicked a ball. [h],his,"Input: His friend kicked a ball. [h] Answer: his
"
We sleep five people in each room. [p],people,"Input: We sleep five people in each room. [p] Answer: people
"
Mary gets depressed and she listens to the Grateful Dead. [l],listens,"Input: Mary gets depressed and she listens to the Grateful Dead. [l] Answer: listens
"
"If you give any senator enough opportunity, he will succumb to corruption. [w]",will,"Input: If you give any senator enough opportunity, he will succumb to corruption. [w] Answer: will
"
The time elapsed slowly. [s],slowly,"Input: The time elapsed slowly. [s] Answer: slowly
"
"It is important for you to be more careful, the more you eat. [i]",it is important,"Input: It is important for you to be more careful, the more you eat. [i] Answer: it is important
"
The piano played a song. [t],the,"Input: The piano played a song. [t] Answer: the
"
Jean is likely to dance. [i],is,"Input: Jean is likely to dance. [i] Answer: is
"
Sylvia will be slapping Jeff upside the head in martial arts class. [c],class,"Input: Sylvia will be slapping Jeff upside the head in martial arts class. [c] Answer: class
"
Where do we go to register for graduation? [f],for,"Input: Where do we go to register for graduation? [f] Answer: for
"
I think John likes his beer. [j],john,"Input: I think John likes his beer. [j] Answer: john
"
The model resembles Kim in nearly every detail. [r],resembles,"Input: The model resembles Kim in nearly every detail. [r] Answer: resembles
"
It is not true that that it would confuse the guards for Herschel to throw a fit was obvious. [w],would was,"Input: It is not true that that it would confuse the guards for Herschel to throw a fit was obvious. [w] Answer: would was
"
Fred talked about everything before Rusty did. [e],everything,"Input: Fred talked about everything before Rusty did. [e] Answer: everything
"
"The cops spoke to the janitor about it yesterday, that robbery. [j]",janitor,"Input: The cops spoke to the janitor about it yesterday, that robbery. [j] Answer: janitor
"
Lydia eloped with Wickham yesterday. [y],yesterday,"Input: Lydia eloped with Wickham yesterday. [y] Answer: yesterday
"
She asked a man who was near the window whether it looked like rain. [w],who was window whether,"Input: She asked a man who was near the window whether it looked like rain. [w] Answer: who was window whether
"
That bottle of water might have. [b],bottle,"Input: That bottle of water might have. [b] Answer: bottle
"
"As John eats more, keep your mouth shut tighter, OK? [o]",ok,"Input: As John eats more, keep your mouth shut tighter, OK? [o] Answer: ok
"
Students enter high level educational institutions might face many problems relating to study habits. [t],to,"Input: Students enter high level educational institutions might face many problems relating to study habits. [t] Answer: to
"
Which city does Fred think that you believe that John lives in? [d],does,"Input: Which city does Fred think that you believe that John lives in? [d] Answer: does
"
Those monkeys are eating the banana. [a],are,"Input: Those monkeys are eating the banana. [a] Answer: are
"
Philippa cried her eyes dry. [p],philippa,"Input: Philippa cried her eyes dry. [p] Answer: philippa
"
John fed the baby rice. [t],the,"Input: John fed the baby rice. [t] Answer: the
"
John talked to almost any woman who came up to him. [u],up,"Input: John talked to almost any woman who came up to him. [u] Answer: up
"
How likely to win is he? [l],likely,"Input: How likely to win is he? [l] Answer: likely
"
The issue was dealt with promptly. [d],dealt,"Input: The issue was dealt with promptly. [d] Answer: dealt
"
We have someone in the living room. [r],room,"Input: We have someone in the living room. [r] Answer: room
"
Peter said that Danny danced. [t],that,"Input: Peter said that Danny danced. [t] Answer: that
"
That evening John laughed with everybody he talked to. [w],with,"Input: That evening John laughed with everybody he talked to. [w] Answer: with
"
Sally will stand near every woman that you will. [y],you,"Input: Sally will stand near every woman that you will. [y] Answer: you
"
