input,output,text
Afghanistan,Kabul,"Input: Afghanistan Answer: Kabul
"
Albania,Tirana,"Input: Albania Answer: Tirana
"
Algeria,Alger,"Input: Algeria Answer: Alger
"
American Samoa,Fagatogo,"Input: American Samoa Answer: Fagatogo
"
Andorra,Andorra la Vella,"Input: Andorra Answer: Andorra la Vella
"
Angola,Luanda,"Input: Angola Answer: Luanda
"
Anguilla,The Valley,"Input: Anguilla Answer: The Valley
"
Antigua and Barbuda,Saint John's,"Input: Antigua and Barbuda Answer: Saint John's
"
Argentina,Buenos Aires,"Input: Argentina Answer: Buenos Aires
"
Armenia,Yerevan,"Input: Armenia Answer: Yerevan
"
Aruba,Oranjestad,"Input: Aruba Answer: Oranjestad
"
Australia,Canberra,"Input: Australia Answer: Canberra
"
Austria,Wien,"Input: Austria Answer: Wien
"
Azerbaijan,Baku,"Input: Azerbaijan Answer: Baku
"
Bahamas,Nassau,"Input: Bahamas Answer: Nassau
"
Bahrain,al-Manama,"Input: Bahrain Answer: al-Manama
"
Bangladesh,Dhaka,"Input: Bangladesh Answer: Dhaka
"
Barbados,Bridgetown,"Input: Barbados Answer: Bridgetown
"
Belarus,Minsk,"Input: Belarus Answer: Minsk
"
Belgium,Bruxelles [Brussel],"Input: Belgium Answer: Bruxelles [Brussel]
"
Belize,Belmopan,"Input: Belize Answer: Belmopan
"
Benin,Porto-Novo,"Input: Benin Answer: Porto-Novo
"
Bermuda,Hamilton,"Input: Bermuda Answer: Hamilton
"
Bhutan,Thimphu,"Input: Bhutan Answer: Thimphu
"
Bolivia,La Paz,"Input: Bolivia Answer: La Paz
"
Bosnia and Herzegovina,Sarajevo,"Input: Bosnia and Herzegovina Answer: Sarajevo
"
Botswana,Gaborone,"Input: Botswana Answer: Gaborone
"
Brazil,Bras,"Input: Brazil Answer: Bras
"
Brunei,Bandar Seri Begawan,"Input: Brunei Answer: Bandar Seri Begawan
"
Bulgaria,Sofia,"Input: Bulgaria Answer: Sofia
"
Burkina Faso,Ouagadougou,"Input: Burkina Faso Answer: Ouagadougou
"
Burundi,Bujumbura,"Input: Burundi Answer: Bujumbura
"
Cambodia,Phnom Penh,"Input: Cambodia Answer: Phnom Penh
"
Cameroon,Yaound,"Input: Cameroon Answer: Yaound
"
Canada,Ottawa,"Input: Canada Answer: Ottawa
"
Cape Verde,Praia,"Input: Cape Verde Answer: Praia
"
Cayman Islands,George Town,"Input: Cayman Islands Answer: George Town
"
Central African Republic,Bangui,"Input: Central African Republic Answer: Bangui
"
Chad,N'Djam,"Input: Chad Answer: N'Djam
"
Chile,Santiago de Chile,"Input: Chile Answer: Santiago de Chile
"
China,Peking,"Input: China Answer: Peking
"
Christmas Island,Flying Fish Cove,"Input: Christmas Island Answer: Flying Fish Cove
"
Cocos (Keeling) Islands,West Island,"Input: Cocos (Keeling) Islands Answer: West Island
"
Colombia,Santaf,"Input: Colombia Answer: Santaf
"
Comoros,Moroni,"Input: Comoros Answer: Moroni
"
Congo,Brazzaville,"Input: Congo Answer: Brazzaville
"
"Congo, The Democratic Republic of the",Kinshasa,"Input: Congo, The Democratic Republic of the Answer: Kinshasa
"
Cook Islands,Avarua,"Input: Cook Islands Answer: Avarua
"
Costa Rica,San Jos,"Input: Costa Rica Answer: San Jos
"
Ivory Coast,Yamoussoukro,"Input: Ivory Coast Answer: Yamoussoukro
"
Croatia,Zagreb,"Input: Croatia Answer: Zagreb
"
Cuba,La Habana,"Input: Cuba Answer: La Habana
"
Cyprus,Nicosia,"Input: Cyprus Answer: Nicosia
"
Czech Republic,Praha,"Input: Czech Republic Answer: Praha
"
Denmark,Copenhagen,"Input: Denmark Answer: Copenhagen
"
Djibouti,Djibouti,"Input: Djibouti Answer: Djibouti
"
Dominica,Roseau,"Input: Dominica Answer: Roseau
"
Dominican Republic,Santo Domingo de Guzm,"Input: Dominican Republic Answer: Santo Domingo de Guzm
"
East Timor,Dili,"Input: East Timor Answer: Dili
"
Ecuador,Quito,"Input: Ecuador Answer: Quito
"
Egypt,Cairo,"Input: Egypt Answer: Cairo
"
England,London,"Input: England Answer: London
"
El Salvador,San Salvador,"Input: El Salvador Answer: San Salvador
"
Equatorial Guinea,Malabo,"Input: Equatorial Guinea Answer: Malabo
"
Eritrea,Asmara,"Input: Eritrea Answer: Asmara
"
Estonia,Tallinn,"Input: Estonia Answer: Tallinn
"
Ethiopia,Addis Abeba,"Input: Ethiopia Answer: Addis Abeba
"
Falkland Islands,Stanley,"Input: Falkland Islands Answer: Stanley
"
Fiji Islands,Suva,"Input: Fiji Islands Answer: Suva
"
Finland,Helsinki [Helsingfors],"Input: Finland Answer: Helsinki [Helsingfors]
"
French Guiana,Cayenne,"Input: French Guiana Answer: Cayenne
"
French Polynesia,Papeete,"Input: French Polynesia Answer: Papeete
"
Gabon,Libreville,"Input: Gabon Answer: Libreville
"
Gambia,Banjul,"Input: Gambia Answer: Banjul
"
Georgia,Tbilisi,"Input: Georgia Answer: Tbilisi
"
Germany,Berlin,"Input: Germany Answer: Berlin
"
Ghana,Accra,"Input: Ghana Answer: Accra
"
Gibraltar,Gibraltar,"Input: Gibraltar Answer: Gibraltar
"
Greece,Athenai,"Input: Greece Answer: Athenai
"
Greenland,Nuuk,"Input: Greenland Answer: Nuuk
"
Grenada,Saint George's,"Input: Grenada Answer: Saint George's
"
Guadeloupe,Basse-Terre,"Input: Guadeloupe Answer: Basse-Terre
"
Guam,Aga,"Input: Guam Answer: Aga
"
Guatemala,Ciudad de Guatemala,"Input: Guatemala Answer: Ciudad de Guatemala
"
Guinea,Conakry,"Input: Guinea Answer: Conakry
"
Guinea-Bissau,Bissau,"Input: Guinea-Bissau Answer: Bissau
"
Guyana,Georgetown,"Input: Guyana Answer: Georgetown
"
Haiti,Port-au-Prince,"Input: Haiti Answer: Port-au-Prince
"
Holy See (Vatican city State),Citt,"Input: Holy See (Vatican city State) Answer: Citt
"
Honduras,Tegucigalpa,"Input: Honduras Answer: Tegucigalpa
"
Hong Kong,Victoria,"Input: Hong Kong Answer: Victoria
"
Hungary,Budapest,"Input: Hungary Answer: Budapest
"
Iceland,Reykjav,"Input: Iceland Answer: Reykjav
"
Indonesia,Jakarta,"Input: Indonesia Answer: Jakarta
"
Iran,Teheran,"Input: Iran Answer: Teheran
"
Iraq,Baghdad,"Input: Iraq Answer: Baghdad
"
Ireland,Dublin,"Input: Ireland Answer: Dublin
"
Israel,Jerusalem,"Input: Israel Answer: Jerusalem
"
Jamaica,Kingston,"Input: Jamaica Answer: Kingston
"
Japan,Tokyo,"Input: Japan Answer: Tokyo
"
Jordan,Amman,"Input: Jordan Answer: Amman
"
Kazakstan,Astana,"Input: Kazakstan Answer: Astana
"
Kenya,Nairobi,"Input: Kenya Answer: Nairobi
"
Kiribati,Bairiki,"Input: Kiribati Answer: Bairiki
"
Kuwait,Kuwait,"Input: Kuwait Answer: Kuwait
"
Kyrgyzstan,Bishkek,"Input: Kyrgyzstan Answer: Bishkek
"
Laos,Vientiane,"Input: Laos Answer: Vientiane
"
Latvia,Riga,"Input: Latvia Answer: Riga
"
Lebanon,Beirut,"Input: Lebanon Answer: Beirut
"
Lesotho,Maseru,"Input: Lesotho Answer: Maseru
"
Liberia,Monrovia,"Input: Liberia Answer: Monrovia
"
Libyan Arab Jamahiriya,Tripoli,"Input: Libyan Arab Jamahiriya Answer: Tripoli
"
Liechtenstein,Vaduz,"Input: Liechtenstein Answer: Vaduz
"
