input,output,text
95736,No,"Input: 95736 Answer: No
"
98344,No,"Input: 98344 Answer: No
"
55331,Yes,"Input: 55331 Answer: Yes
"
23633,Yes,"Input: 23633 Answer: Yes
"
63389,Yes,"Input: 63389 Answer: Yes
"
15201,No,"Input: 15201 Answer: No
"
16829,Yes,"Input: 16829 Answer: Yes
"
47759,No,"Input: 47759 Answer: No
"
93969,No,"Input: 93969 Answer: No
"
81929,Yes,"Input: 81929 Answer: Yes
"
2137,Yes,"Input: 2137 Answer: Yes
"
6516,No,"Input: 6516 Answer: No
"
27011,Yes,"Input: 27011 Answer: Yes
"
18449,No,"Input: 18449 Answer: No
"
30169,Yes,"Input: 30169 Answer: Yes
"
80309,Yes,"Input: 80309 Answer: Yes
"
51159,No,"Input: 51159 Answer: No
"
33647,Yes,"Input: 33647 Answer: Yes
"
82723,Yes,"Input: 82723 Answer: Yes
"
12893,Yes,"Input: 12893 Answer: Yes
"
1567,Yes,"Input: 1567 Answer: Yes
"
64063,Yes,"Input: 64063 Answer: Yes
"
421,Yes,"Input: 421 Answer: Yes
"
18839,Yes,"Input: 18839 Answer: Yes
"
74012,No,"Input: 74012 Answer: No
"
78036,No,"Input: 78036 Answer: No
"
23167,Yes,"Input: 23167 Answer: Yes
"
75217,Yes,"Input: 75217 Answer: Yes
"
23769,No,"Input: 23769 Answer: No
"
82219,Yes,"Input: 82219 Answer: Yes
"
17041,Yes,"Input: 17041 Answer: Yes
"
94421,Yes,"Input: 94421 Answer: Yes
"
37422,No,"Input: 37422 Answer: No
"
11939,Yes,"Input: 11939 Answer: Yes
"
14177,Yes,"Input: 14177 Answer: Yes
"
44036,No,"Input: 44036 Answer: No
"
61018,No,"Input: 61018 Answer: No
"
78041,Yes,"Input: 78041 Answer: Yes
"
29938,No,"Input: 29938 Answer: No
"
81701,Yes,"Input: 81701 Answer: Yes
"
70590,No,"Input: 70590 Answer: No
"
99083,Yes,"Input: 99083 Answer: Yes
"
65581,Yes,"Input: 65581 Answer: Yes
"
44809,Yes,"Input: 44809 Answer: Yes
"
41521,Yes,"Input: 41521 Answer: Yes
"
82031,Yes,"Input: 82031 Answer: Yes
"
77591,Yes,"Input: 77591 Answer: Yes
"
89833,Yes,"Input: 89833 Answer: Yes
"
81741,No,"Input: 81741 Answer: No
"
44014,No,"Input: 44014 Answer: No
"
86579,Yes,"Input: 86579 Answer: Yes
"
29962,No,"Input: 29962 Answer: No
"
72599,No,"Input: 72599 Answer: No
"
8669,Yes,"Input: 8669 Answer: Yes
"
48859,Yes,"Input: 48859 Answer: Yes
"
85274,No,"Input: 85274 Answer: No
"
47256,No,"Input: 47256 Answer: No
"
61169,Yes,"Input: 61169 Answer: Yes
"
73453,Yes,"Input: 73453 Answer: Yes
"
78781,Yes,"Input: 78781 Answer: Yes
"
78179,Yes,"Input: 78179 Answer: Yes
"
47521,Yes,"Input: 47521 Answer: Yes
"
5237,Yes,"Input: 5237 Answer: Yes
"
30803,Yes,"Input: 30803 Answer: Yes
"
23431,Yes,"Input: 23431 Answer: Yes
"
64336,No,"Input: 64336 Answer: No
"
47123,Yes,"Input: 47123 Answer: Yes
"
45128,No,"Input: 45128 Answer: No
"
14657,Yes,"Input: 14657 Answer: Yes
"
93693,No,"Input: 93693 Answer: No
"
89024,No,"Input: 89024 Answer: No
"
8329,Yes,"Input: 8329 Answer: Yes
"
17903,Yes,"Input: 17903 Answer: Yes
"
90547,Yes,"Input: 90547 Answer: Yes
"
27751,Yes,"Input: 27751 Answer: Yes
"
72183,No,"Input: 72183 Answer: No
"
51241,Yes,"Input: 51241 Answer: Yes
"
73121,Yes,"Input: 73121 Answer: Yes
"
52127,Yes,"Input: 52127 Answer: Yes
"
34649,Yes,"Input: 34649 Answer: Yes
"
12615,No,"Input: 12615 Answer: No
"
24281,Yes,"Input: 24281 Answer: Yes
"
4523,Yes,"Input: 4523 Answer: Yes
"
74090,No,"Input: 74090 Answer: No
"
7387,No,"Input: 7387 Answer: No
"
8629,Yes,"Input: 8629 Answer: Yes
"
91970,No,"Input: 91970 Answer: No
"
9198,No,"Input: 9198 Answer: No
"
63127,Yes,"Input: 63127 Answer: Yes
"
69839,No,"Input: 69839 Answer: No
"
76883,Yes,"Input: 76883 Answer: Yes
"
50147,Yes,"Input: 50147 Answer: Yes
"
15091,Yes,"Input: 15091 Answer: Yes
"
83273,Yes,"Input: 83273 Answer: Yes
"
63415,No,"Input: 63415 Answer: No
"
89013,No,"Input: 89013 Answer: No
"
32425,No,"Input: 32425 Answer: No
"
67965,No,"Input: 67965 Answer: No
"
91423,Yes,"Input: 91423 Answer: Yes
"
77237,Yes,"Input: 77237 Answer: Yes
"
58687,Yes,"Input: 58687 Answer: Yes
"
42929,Yes,"Input: 42929 Answer: Yes
"
63599,Yes,"Input: 63599 Answer: Yes
"
46559,Yes,"Input: 46559 Answer: Yes
"
69608,No,"Input: 69608 Answer: No
"
97276,No,"Input: 97276 Answer: No
"
54679,Yes,"Input: 54679 Answer: Yes
"
31151,Yes,"Input: 31151 Answer: Yes
"
74759,Yes,"Input: 74759 Answer: Yes
"
69911,Yes,"Input: 69911 Answer: Yes
"
71329,Yes,"Input: 71329 Answer: Yes
"
17830,No,"Input: 17830 Answer: No
"
14431,Yes,"Input: 14431 Answer: Yes
"
99772,No,"Input: 99772 Answer: No
"
58537,Yes,"Input: 58537 Answer: Yes
"
241,Yes,"Input: 241 Answer: Yes
"
44497,Yes,"Input: 44497 Answer: Yes
"
56045,No,"Input: 56045 Answer: No
"
82591,Yes,"Input: 82591 Answer: Yes
"
93897,No,"Input: 93897 Answer: No
"
67775,No,"Input: 67775 Answer: No
"
10536,No,"Input: 10536 Answer: No
"
64839,No,"Input: 64839 Answer: No
"
13999,Yes,"Input: 13999 Answer: Yes
"
66403,Yes,"Input: 66403 Answer: Yes
"
41039,Yes,"Input: 41039 Answer: Yes
"
28571,Yes,"Input: 28571 Answer: Yes
"
98047,Yes,"Input: 98047 Answer: Yes
"
77029,Yes,"Input: 77029 Answer: Yes
"
55610,No,"Input: 55610 Answer: No
"
16414,No,"Input: 16414 Answer: No
"
75889,No,"Input: 75889 Answer: No
"
68290,No,"Input: 68290 Answer: No
"
60697,No,"Input: 60697 Answer: No
"
43100,No,"Input: 43100 Answer: No
"
97702,No,"Input: 97702 Answer: No
"
63439,Yes,"Input: 63439 Answer: Yes
"
44769,No,"Input: 44769 Answer: No
"
61480,No,"Input: 61480 Answer: No
"
47524,No,"Input: 47524 Answer: No
"
21503,Yes,"Input: 21503 Answer: Yes
"
76623,No,"Input: 76623 Answer: No
"
65557,Yes,"Input: 65557 Answer: Yes
"
41303,No,"Input: 41303 Answer: No
"
